113001,,4,5,30,32,34,39
113001,,9,17,20,32,33,39
113002,,1,11,14,39,40,49
113002,,8,13,21,28,29,48
113003,,13,14,19,23,32,37
113003,,1,12,28,29,32,47
113004,,4,5,10,23,43,49
113004,,8,17,23,26,42,47
113007,,7,10,11,18,26,37
113007,,26,27,32,34,40,46
113008,,3,18,36,37,40,42
113008,,2,7,12,15,17,39
113009,,6,8,19,20,24,41
113009,,15,19,26,36,44,48
113010,,7,23,24,25,40,49
113010,,4,17,19,28,38,49
113011,,7,8,11,17,19,45
113011,,2,9,24,28,39,43
113012,,4,6,18,33,37,38
113012,,3,16,23,33,36,38
113013,,7,9,28,35,37,40
113013,,3,9,10,16,30,44
113014,,7,15,31,33,46,48
113014,,10,26,29,38,45,47
113015,,12,19,20,22,41,45
113015,,6,7,10,13,36,41
113016,,4,18,19,30,46,47
113016,,7,21,27,29,36,47
113017,,3,13,30,34,36,44
113017,,4,8,18,35,38,49
113018,,4,22,32,36,38,44
113018,,7,13,23,24,27,43
113019,,24,25,36,38,41,46
113019,,7,11,23,25,33,48
113020,,7,19,22,36,44,46
113020,,3,5,25,27,34,45
113021,,8,21,22,30,36,38
113021,,3,14,17,39,46,49
113022,,14,19,23,32,34,49
113022,,1,3,12,22,35,47
113023,,14,18,38,43,44,48
113023,,15,16,17,24,46,49
113024,,11,23,24,26,33,44
113024,,5,10,12,13,32,49
113025,,1,12,17,19,30,33
113025,,7,18,19,22,44,48
113026,,2,3,27,37,39,45
113026,,5,20,23,35,41,46
113027,,17,21,23,32,41,43
113027,,16,22,30,35,36,39
113028,,4,6,9,10,13,24
113028,,5,6,9,25,38,41
113029,,17,23,24,28,29,49
113029,,6,14,21,29,36,39
113030,,6,21,26,38,41,45
113030,,2,11,14,17,24,46
113031,,2,3,8,20,32,44
113031,,3,17,19,38,39,44
113033,,3,7,11,20,25,46
113033,,9,15,31,32,44,46
113032,,1,3,5,10,19,23
113032,,15,22,24,27,40,45
113032,,9,22,29,33,35,48
113032,,4,10,21,32,35,44
113033,,4,21,28,32,36,46
113033,,1,7,11,28,32,33
113034,,20,31,39,41,43,48
113034,,11,13,14,22,40,43
113035,,4,6,12,40,46,47
113035,,5,30,35,39,46,47
113036,,5,8,17,28,34,40
113036,,2,5,11,14,20,25
113037,,13,22,28,30,35,47
113037,,5,16,17,23,25,39
113038,,9,15,23,37,46,49
113038,,12,17,25,27,28,32
113039,,11,15,16,17,38,47
113039,,6,10,14,34,39,48
113040,,2,3,4,6,19,22
113040,,19,23,27,28,32,38
113041,,2,3,7,21,42,49
113041,,8,14,19,29,30,34
113042,,14,29,31,36,46,49
113042,,5,10,26,33,46,47
113043,,14,15,21,25,34,48
113043,,6,19,21,29,44,48
113044,,8,17,21,24,48,49
113044,,1,5,7,23,39,47
113045,,1,16,18,23,39,48
113045,,16,18,24,30,38,39
113046,,1,24,28,33,38,47
113046,,9,15,17,31,44,49
113047,,1,15,35,36,41,43
113047,,14,18,30,37,40,43
113048,,3,7,12,13,19,30
113048,,3,4,11,20,35,45
113049,,3,6,26,41,42,47
113049,,4,6,7,12,39,44
113050,,6,9,10,42,43,46
113050,,5,6,9,20,26,32
113051,,8,12,17,26,35,45
113051,,2,11,29,35,38,43
113052,,9,11,15,21,32,44
113052,,2,24,31,41,46,48
113053,,1,9,20,27,32,40
113053,,6,15,35,39,47,49
113054,,6,22,28,29,38,40
113054,,6,20,32,42,44,46
113055,,8,18,31,44,48,49
113055,,6,7,11,12,19,23
113056,,3,4,44,46,47,48
113056,,14,20,24,42,44,47
113057,,7,16,19,30,35,46
113057,,2,18,21,35,41,43
113058,,9,18,26,32,47,48
113058,,11,16,28,37,38,49
113059,,7,16,20,26,29,30
113059,,2,10,18,19,24,32
113060,,10,19,30,32,42,47
113060,,5,8,9,23,32,41
113061,,3,9,13,17,19,44
113061,,6,11,24,29,38,46
113062,,14,15,26,28,36,40
113062,,11,14,28,36,40,42
113063,,11,18,24,38,46,49
113063,,17,19,22,27,33,46
113064,,10,11,26,29,37,39
113064,,1,16,17,32,34,49
113065,,9,10,17,34,42,49
113065,,5,18,21,35,36,46
