112000093,112/11/20^30,13,15,07,11,38,07
112000092,112/11/16^37,28,35,07,01,04,02
112000091,112/11/13^16,23,28,25,12,01,07
112000090,112/11/09^05,08,26,24,23,03,05
112000089,112/11/06^15,30,38,33,22,11,05
112000088,112/11/02^20,15,28,09,37,36,07
112000087,112/10/30^30,07,10,03,11,33,06
112000086,112/10/26^31,28,38,27,30,36,08
112000085,112/10/23^30,06,32,11,10,35,08
112000094,112/11/23^37,08,22,13,25,06,07
112000095,112/11/27^24,11,25,29,02,23,01
112000096,112/11/30^33,28,35,02,13,21,02
112000097,112/12/04^22,09,14,20,31,02,05
112000098,112/12/07^16,33,17,09,04,18,01
112000099,112/12/11^09,23,32,21,19,26,05
112000100,112/12/14^19,32,04,16,35,17,05
112000101,112/12/18^18,24,31,20,05,36,02
112000102,112/12/21^13,38,34,03,10,37,04
112000103,112/12/25^32,05,20,07,16,19,02
112000104,112/12/28^31,23,07,08,18,20,08
