112000002,,4,22,23,24,35,36,8
112000002,,10,12,14,16,32,34,5
112000003,,4,7,9,15,36,37,6
112000003,,1,4,10,13,28,34,2
112000004,,2,4,17,20,25,31,6
112000004,,14,15,16,23,30,37,3
112000003,,9,10,13,24,28,35,8
112000003,,1,15,16,17,18,26,6
112000006,,2,23,24,26,28,29,4
112000006,,1,12,14,20,25,28,8
112000009,,3,6,10,17,28,35,3
112000009,,4,5,11,12,20,24,1
112000010,,3,12,17,19,35,37,8
112000010,,3,19,27,28,33,38,7
112000011,,14,16,17,20,35,36,1
112000011,,2,3,11,20,22,37,2
112000012,,6,13,20,22,24,37,4
112000012,,13,18,27,29,32,35,4
112000014,,3,20,23,24,28,38,7
112000014,,16,17,18,20,21,22,7
112000013,,2,8,16,27,28,37,5
112000013,,2,8,9,23,25,38,1
112000016,,6,17,18,24,28,35,6
112000016,,5,17,19,21,24,32,6
112000015,,1,10,15,20,28,35,7
112000015,,2,6,13,22,25,27,7
112000017,,3,15,22,29,30,34,1
112000017,,1,9,22,24,27,30,3
112000018,,18,19,22,24,26,32,1
112000018,,6,11,12,21,24,33,8
112000019,,14,17,25,29,30,31,7
112000019,,5,9,12,25,31,38,5
112000020,,7,8,9,10,26,32,2
112000020,,7,12,14,32,33,34,2
112000021,,4,9,16,19,23,26,7
112000021,,13,22,26,29,30,36,6
112000022,,22,23,32,33,34,37,5
112000022,,11,13,14,27,33,38,6
112000023,,17,18,19,22,26,37,2
112000023,,1,2,3,24,32,34,1
112000024,,9,14,17,18,20,25,5
112000024,,2,15,19,26,32,33,6
112000025,,6,10,12,30,33,38,1
112000025,,4,13,18,21,31,35,6
112000026,,2,21,23,25,28,36,5
112000026,,10,15,26,33,34,37,6
112000027,,1,5,17,23,26,29,2
112000027,,9,11,25,26,28,34,6
112000028,,4,18,21,29,32,37,2
112000028,,11,14,16,28,29,36,2
112000029,,3,5,10,13,24,31,6
112000029,,5,8,9,12,23,24,7
112000030,,5,17,25,26,27,28,4
112000031,,2,8,10,14,30,36,3
112000031,,9,13,16,17,24,35,7
112000032,,2,8,17,26,32,33,6
112000032,,10,15,17,18,21,24,1
112000033,,3,6,19,24,31,38,1
112000033,,5,6,10,20,30,32,8
112000034,,3,5,12,21,29,33,6
112000034,,4,6,7,9,21,25,4
112000035,,4,11,14,20,25,38,7
112000035,,3,18,21,29,30,36,2
112000036,,1,3,17,32,33,34,2
112000036,,4,13,18,29,31,33,2
112000038,,7,8,21,29,35,36,7
112000038,,20,26,27,28,30,35,1
112000039,,5,9,10,19,29,33,5
112000039,,1,2,13,20,26,33,6
112000040,,3,5,8,24,26,33,2
112000040,,5,15,19,30,32,36,3
112000041,,3,4,28,29,37,38,1
112000041,,1,11,25,29,30,31,4
112000042,,11,12,15,29,31,32,7
112000042,,6,9,12,15,27,33,4
112000043,,15,20,24,25,28,29,5
112000043,,10,13,15,24,30,38,5
112000044,,19,21,24,25,28,29,2
112000044,,2,4,20,26,27,34,7
112000047,,2,17,20,21,27,31,1
112000047,,9,11,23,27,29,31,6
112000047,,3,11,14,18,20,28,4
112000047,,4,5,6,32,34,37,4
112000048,,11,13,15,25,31,36,3
112000048,,1,3,33,34,35,37,2
112000048,,1,4,15,26,30,36,2
112000048,,1,22,24,26,31,35,3
112000048,,1,5,13,15,28,30,2
112000048,,6,18,21,29,31,33,6
112000048,,12,17,22,23,29,37,5
112000048,,1,9,16,23,24,34,5
112000049,,11,26,28,29,33,38,1
112000049,,18,19,21,24,25,33,7
112000050,,19,24,29,31,33,37,1
112000050,,12,15,23,25,26,38,8
112000051,,14,16,19,21,26,38,1
112000051,,1,2,6,8,19,36,4
112000052,,5,12,23,25,26,31,4
112000052,,16,24,26,29,35,38,4
112000053,,10,13,20,29,32,33,3
112000053,,4,6,7,23,33,35,2
112000054,,13,14,15,19,26,33,7
