112000104,112/11/17^31,40,15,30,45,34,47
112000103,112/11/14^06,43,38,12,30,15,41
112000102,112/11/10^31,06,11,04,08,02,26
112000101,112/11/07^21,07,47,44,08,41,13
112000100,112/11/03^48,24,20,08,28,40,03
112000099,112/10/31^36,47,18,02,10,42,24
112000098,112/10/27^28,31,22,27,06,15,24
112000097,112/10/24^34,43,49,29,41,07,22
112000096,112/10/20^32,37,40,39,38,44,24
112000105,112/11/21^30,37,21,47,26,16,31
112000106,112/11/24^16,20,43,09,48,42,02
112000107,112/11/28^44,18,33,12,27,23,39
112000108,112/12/01^40,04,23,18,15,47,42
112000109,112/12/05^48,42,30,10,14,38,37
112000110,112/12/08^05,27,08,28,29,22,16
112000111,112/12/12^20,06,46,30,38,33,16
112000112,112/12/15^28,39,01,22,33,09,07
112000113,112/12/19^20,48,14,26,18,38,02
112000114,112/12/22^49,35,20,34,09,08,40
112000115,112/12/26^29,19,46,28,08,30,10
112000116,112/12/29^31,46,11,39,23,01,17
