9941,<optionvalue="9941">裕融,162,價太高了,85.92,95.85,107.40,3.31%
9925,新保,39.55,價太高了,31.36,34.98,39.20,4.95%
6201,亞弘電,39.4,在合理價以內,38.24,42.66,47.80,6.06%
6151,晉倫,26.8,低於低價,27.20,30.34,34.00,6.34%
6505,台塑化,82.2,價太高了,51.20,57.12,64.00,3.89%
8926,台汽電,33.85,價太高了,23.36,26.06,29.20,4.31%
9908,大台北,31.05,價太高了,16.80,18.74,21.00,3.38%
9918,欣天然,42.2,價太高了,20.48,22.84,25.60,3.03%
8917,欣泰,89.9,價太高了,26.08,29.09,32.60,1.81%
9926,新海,51.5,價太高了,26.88,29.98,33.60,3.26%
9931,欣高,39.45,價太高了,21.28,23.74,26.60,3.37%
8908,欣雄,68,價太高了,26.40,29.45,33.00,2.42%
2880,華南金,22.8,價太高了,16.64,18.56,20.80,4.56%
2881,<optionvalue="2881">富邦金,58.7,價太高了,38.08,42.48,47.60,4.05%
2882,<optionvalue="2882">國泰金,41.8,高於合理價,34.08,38.02,42.60,5.09%
2892,第一金,26.45,價太高了,19.36,21.59,24.20,4.57%
2820,華票,14.9,高於合理價,12.48,13.92,15.60,5.23%
2886,兆豐金,31.65,價太高了,23.36,26.06,29.20,4.61%
2535,達欣工,30.1,在合理價以內,29.28,32.66,36.60,6.07%
2538,基泰,12.65,低於低價,15.36,17.13,19.20,7.58%
5511,德昌,30.15,低於低價,31.52,35.16,39.40,6.53%
1216,統一,67.5,價太高了,41.44,46.23,51.80,3.83%
1232,大統益,143,價太高了,77.76,86.75,97.20,3.39%
1434,福懋,26.9,高於合理價,23.36,26.06,29.20,5.42%
1451,年興,21,低於低價,21.12,23.56,26.40,6.28%
1402,遠東新,32.6,價太高了,21.60,24.09,27.00,4.14%
5604,中連,54.2,低於低價,55.84,62.29,69.80,6.43%
3045,台灣大,95.2,高於合理價,83.68,93.35,104.60,5.49%
4904,遠傳,66.1,高於合理價,57.12,63.72,71.40,5.40%
2412,中華電,114,價太高了,76.00,84.78,95.00,4.16%
2535,達欣工,30.1,在合理價以內,29.28,32.66,36.60,6.07%
2912,統一超,271,價太高了,150.08,167.43,187.60,3.46%
1303,南亞,74.3,價太高了,55.36,61.76,69.20,4.65%
1301,台塑,88.2,價太高了,63.84,71.22,79.80,4.52%
1326,台化,72.4,高於合理價,60.80,67.83,76.00,5.24%
6189,<optionvalue="6189">豐藝,37.85,低於低價,42.72,47.65,53.40,7.05%
2347,聯強,59.7,價太高了,41.92,46.76,52.40,4.38%
6126,信音,20.1,價太高了,10.24,11.42,12.80,3.18%
3090,日電貿,53,在合理價以內,48.00,53.55,60.00,5.66%
5464,霖宏,24.65,價太高了,15.68,17.49,19.60,3.97%
2308,台達電,277.5,價太高了,85.92,95.85,107.40,1.93%
6115,鎰勝,42.45,低於低價,51.36,57.29,64.20,7.56%
2324,仁寶,22.7,在合理價以內,20.96,23.38,26.20,5.77%
2301,光寶科,65.1,價太高了,43.68,48.73,54.60,4.19%
2395,研華,334.5,價太高了,108.32,120.84,135.40,2.02%
2382,廣達,73.9,在合理價以內,66.40,74.07,83.00,5.61%
8255,朋程,155,價太高了,80.80,90.14,101.00,3.25%
2103,台橡,27.3,價太高了,21.12,23.56,26.40,4.83%
8930,青鋼,17.05,價太高了,12.48,13.92,15.60,4.57%
2006,東和鋼鐵,55,價太高了,29.44,32.84,36.80,3.34%
2002,<optionvalue="2002">中鋼,31.05,價太高了,15.20,16.95,19.00,3.05%
0050,元大台灣50,台幣,價太高了,28.64,31.95,35.80,%
0056,元大高股息,台幣,價太高了,22.08,24.63,27.60,%
01003T,兆豐新光R1,台幣,價太高了,5.60,6.24,7.00,%
01007T,兆豐國泰R2,台幣,價太高了,3.52,3.92,4.40,%
2884,玉山金,24.25,高於合理價,21.12,23.56,26.40,5.44%
5871,<optionvalue="5871">中租-KY,222,價太高了,65.92,73.54,82.40,1.85%
6592,<optionvalue="6592">和潤企業,104,價太高了,29.92,33.37,37.40,1.79%
9921,<optionvalue="9921">巨大,208,價太高了,96.00,107.10,120.00,2.88%
2351,順德,97.7,價太高了,33.92,37.84,42.40,2.16%
